,comments
6,*VACCINATED
12,1120 ad only
66,250 FISH CHECKED FOR PRECOCITY WITH 0 BEING PRECOCIOUS
67,28.8% CWT rel at Big Cr Hatchery
68,28% of CWT rel at Blind Slough
69,28132 mm
70,"29,442 at Mosby Cr."
71,3000 PIT; POND 28; BIRD PRED; S.SEBRING; 052011C007 ASSOC to 090366
72,34% CWT (7981) reared and released at TP
73,37 percent of CWT to Coast Fork Willamette
74,"37,711 tag released at Rogers Cr, MidFk Hood with 4700 nontagged, related 090725"
75,4 week salt transfer diet
76,4.8% released in June
77,4.9% released in June
78,41% CWT ForceRL 59%VolRL. MM fish later
79,49.8% Imeques 50.2% Thornhollow LC183103
80,5 percent released 6 weeks later
81,"51% Clear Cr Acc, 49% Dog Cr. FLR 177426 165798 165799"
82,52% Imeques 48% Pendleton Acc
83,5935 chum tagged excluded from counts.
84,6 week Saltwater transfer diet
85,6.63% rel at Cole Rivers Hatchery
86,6668 chum tagged excluded from counts.
87,80% SMOLTED 20% PARR
88,"82,153 FISH INTO ROW RIVER;TRIB OF WILLAMETTE43,955 FISH INTO MOSBY CR.ENGELKING"
89,8536 of CWT'd released at Tongue Point
90,accidental clip so not DIT
91,"ACCLIMATED AT FERRY CREEK,COMPLETED JUNE 21,2012  FLR;114673 114674       MARK"
95,All fish destroyed by landslide
96,All fish differentially otolith marked
97,ALL FISH TOWED TO ROCKY POINT AND RELEASED.
98,All otolith marked; FLR 162180; hme entered 4/1/2014
99,All otolith thermally marked
100,All thermally otolith marked
101,ALSO FROM TRASK AND STEP;REHN VO0167;                                ENGELKING
102,Anvil fire early release
143,Autogenous Vibreosis vaccine study group
144,Autogenous Vibrosis vaccine study group
145,Avg weight less than ordinary for program. Fish in good condition. FLR 164690.
146,bear springs yearlings
147,Bear Springs yearlings
148,Bear Springs Yearlings R.M. 34
149,Bigs
150,BIO CFJ02 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
151,BIO CFJ04 LeftEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
152,BIO CFJ06 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
153,BIO ESJ02 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
154,BIO ESJ04 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
155,BIO ESJ06 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
156,BIO JCJ02 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
157,BIO JCJ04 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
158,BIO JCJ06 LeftEye Orange + CWT in Snout or CWT in snout + PIT tag
160,"BO=MIXED(HxW) 12 HOUR VOLITIONAL RELEASE, WITH FULL POND DRAWDOWN AFTER DUSK."
173,BO=MIXED(HxW) ALL TAGGED FISH WERE 100% (BONNEVILLE HAD MADE THE ADJUSTMENT FOR TAG RETENTION WHEN SENT TO US.
174,"BO=MIXED(HxW) CAPTIVE BROOD PROGENY, BY2021 SORTS"
175,BO=MIXED(HxW) DUNGENESS GROUP
176,BO=MIXED(HxW) FISH MOVED TO CO.LINE POND 6/5/12 SCREEN PULLED AFTER THREE DAYS
