"","tag_code","run_year","recovery_date","fishery","number_cwt_estimated","related_group_id","run","brood_year","cwt_total","recovery_location_name","stock_location_name","release_location_state","release_location_rmis_region","release_location_rmis_basin","recovery_location_code","hatchery_location_name","hatchery_location_code","first_release_date","release_stage","comments","avg_length","avg_weight","recovery_rmis_region","release_year"
"1","210958",2012,20121215,10,2.42,"",2,2010,175422,"SWTR         P023-000","STILLAGUAMISH R -NF","WA","NPS","STIL","2MS02P023^^^^^^^000","WHITEHORSE POND","3F10308^^050254AH",20110408,"G","",NA,4.54,"",2011
"2","220120",2012,20120822,10,1.67,"",8,2010,100986,"MARINE AREA 3","LYONS FERRY HATCHERY","WA","SNAK","UPSN","3M32303","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110522,"P","",96,10,"NWC",2011
"3","635978",2013,20131113,10,3.85,"",8,2010,182195,"AK M 1 NW 113-41","LTL WHITE SALMON-NFH","WA","CECR","KLIC","1M1NW113^41","KLICKITAT HATCHERY (YKFP)","3F42001^^300002^H",20110606,"S","AD+CWT",76,5.15,"SEAK",2011
"4","210964",2013,20131114,10,3.85,"",2,2010,183267,"AK M 1 NW 113-41","SKAGIT R     03.0176","WA","SKAG","UPSK","1M1NW113^41","MARBLEMOUNT HATCHERY","3F10208^^031421^H",20110607,"","BO=MIXED(HxW)",68,4.12,"SEAK",2011
"5","210958",2013,20131114,10,3.85,"",2,2010,175422,"AK M 1 NW 113-41","STILLAGUAMISH R -NF","WA","NPS","STIL","1M1NW113^41","WHITEHORSE POND","3F10308^^050254AH",20110408,"G","",NA,4.54,"SEAK",2011
"6","635775",2013,20131113,10,1.73,"",2,2010,438216,"AK M 1 SE 105-50","WELLS HATCHERY","WA","UPCR","PRGC","1M1SE105^50","WELLS HATCHERY","3F42001^^470001^H02",20110519,"","BO=MIXED(HxW)",89,9.94,"SEAK",2011
"7","635979",2013,20131103,10,3.85,"",8,2010,279128,"AK M 1 NW 113-41","LTL WHITE SALMON-NFH","WA","CECR","KLIC","1M1NW113^41","KLICKITAT HATCHERY (YKFP)","3F42001^^300002^H",20110606,"S","AD+CWT",76,5.15,"SEAK",2011
"8","635595",2013,20130706,10,2.39,"",3,2010,88865,"AK M 1 SW 104-35","TOUTLE R     26.0227","WA","LOCR","COWL","1M1SW104^35","NORTH TOUTLE HATCHERY","3F42001^^260323^H",20110628,"","BO=MIXED(HxW)",82,6.23,"SEAK",2011
"9","635764",2013,20130705,10,3.27,"04201100000621",3,2010,200099,"AK M 1 NW","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1NW","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"SEAK",2011
"10","210962",2013,20130705,10,3.27,"172011Q0001",3,2010,220485,"AK M 1 NW","QUINAULT R   21.0398","WA","NWC","QEQU","1M1NW","QUINAULT LK HATCHERY","3F21702^^210398^H",20110731,"S","ASSOCIATED TO 210961",NA,27.7,"SEAK",2011
