"record_code","format_version","submission_date","reporting_agency","sampling_agency","recovery_id","species","run_year","recovery_date","recovery_date_type","period_type","period","fishery","gear","adclip_selective_fishery","estimation_level","recovery_location_code","sampling_site","recorded_mark","sex","weight","weight_code","weight_type","length","length_code","length_type","detection_method","tag_status","unresolved_reason","tag_code","tag_type","sequential_number","sequential_column_number","sequential_row_number","catch_sample_id","sample_type","sampled_maturity","sampled_run","sampled_length_range","sampled_sex","sampled_mark","number_cwt_estimated","recovery_location_name","record_origin"
"R",5,20250204,"CDFO","CDFO","C1098098",1,2014,20140726,"C",7,30,10,"31","N",NA,"2MN06H001^^^^^^^000","1",9009,"",NA,NA,NA,NA,NA,NA,"E",1,NA,"635599",12,NA,NA,NA,"",5,NA,NA,NA,NA,NA,NA,"NTR          H001-000","N"
"R",5,20240621,"WDFW","WDFW","2506601",1,2014,20140528,"R",6,22,10,"41","N",4,"3M32101","01",5000,"",NA,NA,NA,730,0,1,"E",1,NA,"090582",12,NA,NA,NA,"130372",4,NA,NA,NA,NA,NA,NA,"MARINE AREA 1","N"
"R",5,20240621,"WDFW","WDFW","2512511",1,2014,20140703,"R",6,27,10,"41","N",4,"3M32202","02",5000,"",NA,NA,NA,800,0,1,"E",1,NA,"055504",12,NA,NA,NA,"130398",1,NA,NA,NA,NA,NA,1.55,"MARINE AREA 2","N"
"R",5,20240621,"WDFW","WDFW","2504070",1,2014,20140504,"R",6,18,10,"41","N",4,"3M32303","04",5000,"",NA,NA,NA,710,0,1,"E",1,NA,"635774",12,NA,NA,NA,"130410",4,NA,NA,NA,NA,NA,NA,"MARINE AREA 3","N"
"R",5,20240621,"WDFW","WDFW","2575066",1,2014,20140804,"R",6,32,10,"41","N",4,"3M32202","02",5000,"",NA,NA,NA,830,0,1,"E",1,NA,"092049",0,NA,NA,NA,"130403",1,NA,NA,NA,NA,NA,1.31,"MARINE AREA 2","N"
"R",5,20260303,"ADFG","ADFG","624154",1,2014,20140705,"R",7,4,10,"11_5","N",3,"1M1NW157","03",5009,"",NA,NA,NA,NA,NA,NA,"V",1,NA,"054596",12,NA,NA,NA,"",5,4,NA,NA,NA,NA,0,"AK M 1 NW 157","N"
"R",5,20260303,"ADFG","ADFG","624155",1,2014,20140705,"R",7,4,10,"11_5","N",3,"1M1NW157","03",5009,"",NA,NA,NA,NA,NA,NA,"V",1,NA,"635764",12,NA,NA,NA,"",5,4,NA,NA,NA,NA,0,"AK M 1 NW 157","N"
"R",5,20260303,"ADFG","ADFG","624156",1,2014,20140705,"R",7,4,10,"11_5","N",3,"1M1NW157","03",5009,"",NA,NA,NA,NA,NA,NA,"V",1,NA,"635978",13,NA,NA,NA,"",5,4,NA,NA,NA,NA,0,"AK M 1 NW 157","N"
"R",5,20260303,"ADFG","ADFG","624153",1,2014,20140705,"R",7,4,10,"11_5","N",3,"1M1NW157","03",5009,"",NA,NA,NA,NA,NA,NA,"V",1,NA,"635965",13,NA,NA,NA,"",5,4,NA,NA,NA,NA,0,"AK M 1 NW 157","N"
"R",5,20260303,"ADFG","ADFG","624157",1,2014,20140705,"R",7,4,10,"11_5","N",3,"1M1NW157","03",5009,"",NA,NA,NA,NA,NA,NA,"V",1,NA,"635776",12,NA,NA,NA,"",5,4,NA,NA,NA,NA,0,"AK M 1 NW 157","N"
"R",5,20260303,"ADFG","ADFG","604942",1,2014,20140129,"R",7,1,10,"11_5","N",3,"1M1NW113^41","03",5009,"",NA,NA,NA,690,1,1,"V",1,NA,"635371",12,NA,NA,NA,"2308529",1,4,NA,NA,NA,NA,4.18,"AK M 1 NW 113-41","N"
"R",5,20260303,"ADFG","ADFG","604943",1,2014,20140129,"R",7,1,10,"11_5","N",3,"1M1NW113^41","03",5009,"",NA,NA,NA,665,1,1,"V",1,NA,"090497",13,NA,NA,NA,"2308529",1,4,NA,NA,NA,NA,4.18,"AK M 1 NW 113-41","N"
"R",5,20260303,"ADFG","ADFG","604944",1,2014,20140129,"R",7,1,10,"11_5","N",3,"1M1NW113^41","03",5009,"",NA,NA,NA,740,1,1,"V",1,NA,"035515",12,NA,NA,NA,"2308529",1,4,NA,NA,NA,NA,4.18,"AK M 1 NW 113-41","N"
"R",5,20260303,"ADFG","ADFG","604945",1,2014,20140129,"R",7,1,10,"11_5","N",3,"1M1NW113^41","03",5009,"",NA,NA,NA,750,1,1,"V",1,NA,"030261",12,NA,NA,NA,"2308529",1,4,NA,NA,NA,NA,4.18,"AK M 1 NW 113-41","N"
