release_location_name,run,region,avg_releases,relative_ranking
MARBLEMOUNT HATCHERY,spring,Puget Sound,804426,1
WELLS HATCHERY,summer,Columbia River,796135,2
SPRING CR NFH,fall,Columbia River,739810,3
SOOS CREEK HATCHERY,fall,Puget Sound,691946,4
BONNEVILLE HATCHERY,fall,Columbia River,683698,5
SKOOKUM CR HATCHERY,spring,Puget Sound,616475,6
WALLACE R HATCHERY,summer,Puget Sound,610907,7
WHITE RIVER HATCHERY,spring,Puget Sound,456377,8
QUINAULT LK HATCHERY,fall,WA coast,422242,9
KENDALL CR HATCHERY,spring,Puget Sound,419966,10
SAMISH HATCHERY,fall,Puget Sound,405731,11
HUPP SPRINGS REARING,spring,Puget Sound,351109,12
LEWIS RIVER HATCHERY,spring,Columbia River,278384,13
MINTER CR HATCHERY,fall,Puget Sound,273193,14
FORKS CREEK HATCHERY,fall,WA coast,242064,15
CLARKS CRK HATCHERY,fall,Puget Sound,194341,16
SOLDUC HATCHERY,summer,WA coast,155030,17
NASELLE HATCHERY,fall,WA coast,141867,18
BEAR SPRINGS 1  (20),summer,WA coast,67629,19
WHATCOM CR HATCHERY,fall,Puget Sound,54047,20
ANACORTES NET PENS,,,,
BATTLE CR HATCHERY,,,,
BEAVER CR HATCHERY,,,,
BERNIE GOBIN HATCH,,,,
BIDDLES POND,,,,
BIG BEEF CR HATCHERY,,,,
BINGHAM CR HATCHERY,,,,
BONAPARTE POND,,,,
BRENNER HATCHERY,,,,
CAPITOL LK REARING,,,,
CARLTON ACCLIMATION POND,,,,
CARSON NFH,,,,
CATHLAMET CHANNEL NP,,,,
CHAMBERS CR HATCHERY,,,,
CHELAN FALLS HATCHERY,,,,
CHELAN PUD HATCHERY,,,,
CHELAN RIVER NP,,,,
CHEWUCH ACCLIMATION,,,,
CHIEF JOSEPH HATCHERY,,,,
CHIWAWA HATCHERY,,,,
CLE ELUM HATCHERY,,,,
CLEAR CREEK HATCHERY,,,,
CLEARWATER + CRIPPLE,,,,
COUNTY LINE PONDS,,,,
COWLITZ SALMON HATCHERY,,,,
COWSKL & RUSHWTR PDS,,,,
COWSKULL ACCLIM POND,,,,
CURL LK ACCLIMA. PD,,,,
DAYTON ACCLIMA. POND,,,,
DEEP R NET PENS,,,,
DEEP R NP - LOWER,,,,
DEEP R NP - UPPER,,,,
DES MOINES NET PENS,,,,
DRYDEN POND,,,,
DUNGENESS HATCHERY,,,,
EASTBANK HATCHERY,,,,
ELMA GAME ASSOC.,,,,
ELOCHOMAN HATCHERY,,,,
ELWHA HATCHERY,,,,
ENTIAT NFH,,,,
FALLERT CR HATCHERY,,,,
FIDALGO BAY NET PENS,,,,
FISH FIRST NP,,,,
FORTSON POND NET PEN,,,,
FOX ISLAND NET PENS,,,,
FRIENDS OF COWLITZ,,,,
GARRISON HATCHERY,,,,
GEORGE ADAMS HATCHERY,,,,
GLENN A/HOODSP/HC-NP,,,,
GLENWOOD SPRINGS,,,,
GOBAR POND      (27),,,,
GORST CR REAR.POND-1,,,,
GORST CR REARING PND,,,,
GRANT COUNTY PUD,,,,
GRAY WOLF R ACCL PD,,,,
GRAYS RIVER HATCHERY,,,,
GROVERS CR HATCHERY,,,,
HARVEY CR HATCHERY,,,,
HOKO FALLS HATCHERY,,,,
HOOD CANAL MARINA NP,,,,
HOODSPORT HATCHERY,,,,
HUMPTULIPS HATCHERY,,,,
HURD CR HATCHERY,,,,
