"","release_location_name","run","region","avg_releases","relative_ranking","release_location_rmis_region","release_location_rmis_basin","comment"
"1","MARBLEMOUNT HATCHERY","spring","Puget Sound",804426,1,"SKAG","UPSK","All releases from SKAG-UPSK are from this hatchery"
"2","WELLS HATCHERY","summer","Columbia River",796135,2,"CRGN","CRGNG","Mis releases in 2017-2018 from UPCR filtered out"
"3","SPRING CR NFH","fall","Columbia River",739810,3,"CECR","WIND",""
"4","SOOS CREEK HATCHERY","fall","Puget Sound",691946,4,"MPS","DUWA",""
"5","BONNEVILLE HATCHERY","fall","Columbia River",683698,5,"LOCR","SAND","Mis releases in Umatilla / Yakima filtered out"
"6","SKOOKUM CR HATCHERY","spring","Puget Sound",616475,6,"NOWA","NOOK",""
"7","WALLACE R HATCHERY","summer","Puget Sound",610907,7,"NPS","SNOH",""
"8","WHITE RIVER HATCHERY","spring","Puget Sound",456377,8,"MPS","PUYA",""
"9","QUINAULT LK HATCHERY","fall","WA coast",422242,9,"NWC","QEQU",""
"10","KENDALL CR HATCHERY","spring","Puget Sound",419966,10,"NOWA","NOOK",""
"11","SAMISH HATCHERY","fall","Puget Sound",405731,11,"NOWA","BESA",""
"12","HUPP SPRINGS REARING","spring","Puget Sound",351109,12,"SPS","EKPS",""
"13","LEWIS RIVER HATCHERY","spring","Columbia River",278384,13,"LOCR","LEWI",""
"14","MINTER CR HATCHERY","fall","Puget Sound",273193,14,"SPS","EKPS","Mis releases in DES filtered out"
"15","FORKS CREEK HATCHERY","fall","WA coast",242064,15,"WILP","WILR",""
"16","CLARKS CRK HATCHERY","fall","Puget Sound",194341,16,"MPS","PUYA","Mis releases filtered out"
"17","SOLDUC HATCHERY","summer","WA coast",155030,17,"NWC","QUHO",""
"18","NASELLE HATCHERY","fall","WA coast",141867,18,"WILP","NASE",""
"19","BEAR SPRINGS 1  (20)","summer","WA coast",67629,19,"NWC","QUHO",""
"20","WHATCOM CR HATCHERY","fall","Puget Sound",54047,20,"NOWA","BESA",""
"21","ANACORTES NET PENS","","",NA,NA,"","",""
"22","BATTLE CR HATCHERY","","",NA,NA,"","",""
"23","BEAVER CR HATCHERY","","",NA,NA,"","",""
"24","BERNIE GOBIN HATCH","","",NA,NA,"NPS","SNOH",""
"25","BIDDLES POND","","",NA,NA,"","",""
"26","BIG BEEF CR HATCHERY","","",NA,NA,"","",""
"27","BINGHAM CR HATCHERY","","",NA,NA,"","",""
"28","BONAPARTE POND","","",NA,NA,"","",""
"29","BRENNER HATCHERY","","",NA,NA,"NPS","STIL",""
"30","CAPITOL LK REARING","","",NA,NA,"","",""
"31","CARLTON ACCLIMATION POND","","",NA,NA,"UPCR","MEOK",""
"32","CARSON NFH","","",NA,NA,"","",""
"33","CATHLAMET CHANNEL NP","","",NA,NA,"LOCR","GREL",""
"34","CHAMBERS CR HATCHERY","","",NA,NA,"","",""
"35","CHELAN FALLS HATCHERY","","",NA,NA,"UPCR","WECH",""
"36","CHELAN PUD HATCHERY","","",NA,NA,"","",""
"37","CHELAN RIVER NP","","",NA,NA,"","",""
"38","CHEWUCH ACCLIMATION","","",NA,NA,"UPCR","MEOK",""
"39","CHIEF JOSEPH HATCHERY","","",NA,NA,"","",""
"40","CHIWAWA HATCHERY","","",NA,NA,"UPCR","WECH",""
"41","CLE ELUM HATCHERY","","",NA,NA,"UPCR","YAKI",""
"42","CLEAR CREEK HATCHERY","","",NA,NA,"SPS","NISQ",""
"43","CLEARWATER + CRIPPLE","","",NA,NA,"","",""
"44","COUNTY LINE PONDS","","",NA,NA,"","",""
"45","COWLITZ SALMON HATCHERY","","",NA,NA,"LOCR","COWL",""
"46","COWSKL & RUSHWTR PDS","","",NA,NA,"","",""
"47","COWSKULL ACCLIM POND","","",NA,NA,"","",""
"48","CURL LK ACCLIMA. PD","","",NA,NA,"","",""
"49","DAYTON ACCLIMA. POND","","",NA,NA,"UPCR","MNPR",""
"50","DEEP R NET PENS","","",NA,NA,"LOCR","GREL",""
"51","DEEP R NP - LOWER","","",NA,NA,"","",""
"52","DEEP R NP - UPPER","","",NA,NA,"","",""
"53","DES MOINES NET PENS","","",NA,NA,"","",""
"54","DRYDEN POND","","",NA,NA,"UPCR","WECH",""
"55","DUNGENESS HATCHERY","","",NA,NA,"JUAN","ELDU",""
"56","EASTBANK HATCHERY","","",NA,NA,"UPCR","WECH",""
"57","ELMA GAME ASSOC.","","",NA,NA,"","",""
"58","ELOCHOMAN HATCHERY","","",NA,NA,"","",""
"59","ELWHA HATCHERY","","",NA,NA,"JUAN","ELDU",""
"60","ENTIAT NFH","","",NA,NA,"UPCR","WECH",""
"61","FALLERT CR HATCHERY","","",NA,NA,"LOCR","LEWI",""
"62","FIDALGO BAY NET PENS","","",NA,NA,"","",""
"63","FISH FIRST NP","","",NA,NA,"","",""
"64","FORTSON POND NET PEN","","",NA,NA,"NPS","STIL",""
"65","FOX ISLAND NET PENS","","",NA,NA,"","",""
"66","FRIENDS OF COWLITZ","","",NA,NA,"","",""
"67","GARRISON HATCHERY","","",NA,NA,"SPS","CHAM",""
"68","GEORGE ADAMS HATCHERY","","",NA,NA,"HOOD","SKDO",""
"69","GLENN A/HOODSP/HC-NP","","",NA,NA,"","",""
"70","GLENWOOD SPRINGS","","",NA,NA,"NOWA","SJUA",""
"71","GOBAR POND      (27)","","",NA,NA,"LOCR","LEWI",""
"72","GORST CR REAR.POND-1","","",NA,NA,"","",""
"73","GORST CR REARING PND","","",NA,NA,"MPS","EKPN",""
"74","GRANT COUNTY PUD","","",NA,NA,"","",""
"75","GRAY WOLF R ACCL PD","","",NA,NA,"JUAN","ELDU",""
"76","GRAYS RIVER HATCHERY","","",NA,NA,"","",""
"77","GROVERS CR HATCHERY","","",NA,NA,"MPS","EKPN",""
"78","HARVEY CR HATCHERY","","",NA,NA,"","",""
"79","HOKO FALLS HATCHERY","","",NA,NA,"JUAN","LYHO",""
"80","HOOD CANAL MARINA NP","","",NA,NA,"","",""
"81","HOODSPORT HATCHERY","","",NA,NA,"HOOD","SKDO",""
"82","HUMPTULIPS HATCHERY","","",NA,NA,"GRAY","GHLC",""
"83","HURD CR HATCHERY","","",NA,NA,"JUAN","ELDU",""
"84","ICY CR HATCHERY","","",NA,NA,"MPS","DUWA",""
"85","IDAHO- PITTSBURG LNDNG PD","","",NA,NA,"","",""
"86","IRRIGON HATCHERY","","",NA,NA,"SNAK","",""
"87","ISSAQUAH HATCHERY","","",NA,NA,"MPS","LAKW",""
"88","KALAMA CR HATCHERY","","",NA,NA,"SPS","NISQ",""
"89","KALAMA FALLS HATCHERY","","",NA,NA,"LOCR","LEWI",""
"90","KETA CREEK COMPLEX","","",NA,NA,"MPS","DUWA",""
"91","KLICKITAT HATCHERY","","",NA,NA,"CECR","KLIC",""
"92","KLICKITAT HATCHERY (YKFP)","","",NA,NA,"CECR","KLIC",""
"93","LAKEWOOD HATCHERY","","",NA,NA,"","",""
"94","LANGLEY NET PENS","","",NA,NA,"","",""
"95","LEAVENWORTH HATCHERY","","",NA,NA,"UPCR","WECH",""
"96","LITTLE BOSTON CR HAT","","",NA,NA,"","",""
"97","LK ABERDEEN HATCHERY","","",NA,NA,"","",""
"98","LK WENATCHEE NET PENS","","",NA,NA,"","",""
"99","LONESOME CR HATCHERY","","",NA,NA,"NWC","QUHO",""
"100","LONGLVKINGS-LILLIWAP","","",NA,NA,"","",""
"101","LOWER ELWHA HATCH - HOUSE","","",NA,NA,"JUAN","ELDU",""
"102","LOWER ELWHA HATCHERY","","",NA,NA,"","",""
"103","LTL WHITE SALMON NFH","","",NA,NA,"","",""
